ano,mes,estado,preco_medio
2024,10,SE,103.28
2024,10,SP,107.48
2024,10,TO,126.73
2024,11,AC,121.95
2024,11,AL,99.80
2024,11,AM,126.29
2024,11,AP,121.13
2024,11,BA,119.48
2024,11,CE,104.81
2024,11,DF,100.91
2024,11,ES,97.02
2024,11,GO,107.10
2024,11,MA,109.55
2024,11,MG,104.42
2024,11,MS,109.27
2024,11,MT,114.66
2024,11,PA,110.99
2024,11,PB,105.41
2024,11,PE,94.45
2024,11,PI,103.75
2024,11,PR,104.48
2024,11,RJ,96.59
2024,11,RN,102.32
2024,11,RO,118.86
2024,11,RR,136.07
2024,11,RS,108.08
2024,11,SC,119.45
2024,11,SE,103.35
2024,11,SP,107.32
2024,11,TO,124.85
2024,12,AC,121.05
2024,12,AL,99.59
2024,12,AM,126.69
2024,12,AP,122.23
2024,12,BA,125.05
2024,12,CE,104.67
2024,12,DF,100.61
2024,12,ES,96.67
2024,12,GO,106.99
2024,12,MA,109.40
2024,12,MG,106.50
2024,12,MS,108.78
2024,12,MT,114.21
2024,12,PA,111.60
2024,12,PB,107.26
2024,12,PE,92.85
2024,12,PI,103.25
2024,12,PR,104.21
2024,12,RJ,96.56
2024,12,RN,104.62
2024,12,RO,118.82
2024,12,RR,136.91
2024,12,RS,108.43
2024,12,SC,120.14
2024,12,SE,103.57
2024,12,SP,107.98
2024,12,TO,125.35
2025,1,AC,121.14
2025,1,AL,99.34
2025,1,AM,126.67
2025,1,AP,120.04
2025,1,BA,121.13
2025,1,CE,105.22
2025,1,DF,101.36
2025,1,ES,98.58
2025,1,GO,106.50
2025,1,MA,109.94
2025,1,MG,104.66
2025,1,MS,109.47
2025,1,MT,118.53
2025,1,PA,106.60
2025,1,PB,105.52
2025,1,PE,94.78
2025,1,PI,103.40
2025,1,PR,102.81
2025,1,RJ,96.20
2025,1,RN,105.90
2025,1,RO,118.87
2025,1,RR,137.05
2025,1,RS,109.17
2025,1,SC,118.22
2025,1,SE,103.37
2025,1,SP,107.40
2025,1,TO,128.50
2025,2,AC,121.78
2025,2,AL,99.94
2025,2,AM,126.81
2025,2,AP,119.09
2025,2,BA,122.95
2025,2,CE,107.30
2025,2,DF,101.61
2025,2,ES,98.87
2025,2,GO,107.73
2025,2,MA,110.80
2025,2,MG,104.86
2025,2,MS,110.36
2025,2,MT,117.56
2025,2,PA,108.35
2025,2,PB,104.05
2025,2,PE,96.09
2025,2,PI,104.47
2025,2,PR,102.71
2025,2,RJ,97.26
2025,2,RN,104.74
2025,2,RO,120.38
2025,2,RR,136.84
2025,2,RS,111.10
2025,2,SC,117.94
2025,2,SE,103.41
2025,2,SP,106.31
2025,2,TO,124.84
2025,3,AC,122.15
2025,3,AL,99.47
2025,3,AM,128.07
2025,3,AP,119.18
2025,3,BA,120.72
2025,3,CE,106.99
2025,3,DF,101.29
2025,3,ES,99.69
2025,3,GO,107.45
2025,3,MA,113.02
2025,3,MG,105.21
2025,3,MS,112.37
2025,3,MT,118.86
2025,3,PA,110.83
2025,3,PB,103.60
2025,3,PE,97.49
2025,3,PI,105.32
2025,3,PR,103.00
2025,3,RJ,98.46
2025,3,RN,105.35
2025,3,RO,123.99
2025,3,RR,136.92
2025,3,RS,111.27
2025,3,SC,118.57
2025,3,SE,103.43
2025,3,SP,106.71
2025,3,TO,125.28
2025,4,AC,122.94
2025,4,AL,100.05
2025,4,AM,127.54
2025,4,AP,118.19
2025,4,BA,118.89
2025,4,CE,108.17
2025,4,DF,101.24
2025,4,ES,99.83
2025,4,GO,108.27
2025,4,MA,116.18
2025,4,MG,104.66
2025,4,MS,112.60
2025,4,MT,119.08
2025,4,PA,111.33
2025,4,PB,104.43
2025,4,PE,98.61
2025,4,PI,105.35
2025,4,PR,103.47
2025,4,RJ,98.97
2025,4,RN,106.51
