ano,mes,estado,desvio_padrao
2024,6,MG,10.92
2024,6,MS,9.86
2024,6,MT,17.21
2024,6,PA,14.13
2024,6,PB,8.03
2024,6,PE,10.63
2024,6,PI,7.07
2024,6,PR,10.50
2024,6,RJ,11.31
2024,6,RN,8.95
2024,6,RO,10.42
2024,6,RR,6.00
2024,6,RS,9.00
2024,6,SC,10.96
2024,6,SE,5.46
2024,6,SP,10.20
2024,6,TO,3.92
2024,7,AC,7.02
2024,7,AL,7.01
2024,7,AM,6.57
2024,7,AP,6.70
2024,7,BA,9.53
2024,7,CE,8.50
2024,7,DF,5.80
2024,7,ES,6.41
2024,7,GO,7.86
2024,7,MA,3.42
2024,7,MG,11.41
2024,7,MS,10.36
2024,7,MT,13.23
2024,7,PA,9.99
2024,7,PB,7.31
2024,7,PE,10.32
2024,7,PI,4.57
2024,7,PR,10.35
2024,7,RJ,8.38
2024,7,RN,11.47
2024,7,RO,6.31
2024,7,RR,5.63
2024,7,RS,5.48
2024,7,SC,9.98
2024,7,SE,6.79
2024,7,SP,11.48
2024,7,TO,4.80
2024,8,AC,5.70
2024,8,AL,6.46
2024,8,AM,6.27
2024,8,AP,6.60
2024,8,BA,8.83
2024,8,CE,8.65
2024,8,DF,4.24
2024,8,ES,6.75
2024,8,GO,7.55
2024,8,MA,5.08
2024,8,MG,11.18
2024,8,MS,9.33
2024,8,MT,12.93
2024,8,PA,6.35
2024,8,PB,7.69
2024,8,PE,9.47
2024,8,PI,3.32
2024,8,PR,10.18
2024,8,RJ,8.78
2024,8,RN,12.52
2024,8,RO,5.72
2024,8,RR,6.01
2024,8,RS,4.74
2024,8,SC,8.67
2024,8,SE,6.00
2024,8,SP,10.91
2024,8,TO,4.95
2024,9,AC,5.01
2024,9,AL,7.20
2024,9,AM,6.33
2024,9,AP,7.07
2024,9,BA,10.87
2024,9,CE,8.41
2024,9,DF,5.07
2024,9,ES,5.70
2024,9,GO,7.62
2024,9,MA,4.51
2024,9,MG,10.87
2024,9,MS,8.11
2024,9,MT,12.33
2024,9,PA,6.31
2024,9,PB,7.29
2024,9,PE,9.04
2024,9,PI,3.87
2024,9,PR,9.15
2024,9,RJ,8.32
2024,9,RN,11.34
2024,9,RO,5.44
2024,9,RR,6.17
2024,9,RS,5.49
2024,9,SC,8.63
2024,9,SE,4.52
2024,9,SP,11.19
2024,9,TO,5.57
2024,10,AC,5.84
2024,10,AL,7.15
2024,10,AM,6.13
2024,10,AP,6.42
2024,10,BA,10.29
2024,10,CE,6.63
2024,10,DF,5.12
2024,10,ES,6.21
2024,10,GO,7.63
2024,10,MA,2.36
